id_74,mother height,father height,gender
7401953,175,182,2
7401956,167,172,2
7401957,158,166,2
7401960,170,178,2
7401962,170,182,2
7401964,163,170,2
7401969,,,2
7401974,164,174,2
7401983,,,2
7401985,170,180,2
7401991,,,2
7401994,164,177,2
7402002,171,186,2
7402013,,,2
7402019,164,164,2
7402021,168,170,2
7402023,163,180,2
7402026,165,180,2
7402028,178,180,2
7402030,163,180,2
7402032,168,184,2
7402043,165,173,2
7402054,165,,2
7402056,169,180,2
7402057,,,2
7402058,171,182,2
7402061,172,187,2
7402064,180,184,2
7402077,174,193,2
7402088,161,180,2
7402092,172,174,2
7402095,163,180,2
7402100,168,182,2
7402101,152,173,2
7402105,174,,2
7402110,,,2
7402118,160,176,2
7402126,157,208,2
7402134,163,185,2
7402135,174,178,2
7402139,155,174,2
7402142,,,2
7402147,174,186,2
7402149,163,182,2
7402153,163,185,2
7402156,177,173,2
7402162,171,176,2
7402163,163,179,2
7402164,171,185,2
7402167,160,177,2
7402171,164,175,2
7402176,170,184,2
7402186,173,187,2
7402190,161,179,2
7402193,,,2
7402201,167,167,2
7402209,169,183,2
7402211,162,183,2
7402220,168,182,2
7402223,160,187,2
7402231,,,2
7402235,164,183,2
7402247,158,176,2
7402249,161,180,2
7402251,169,175,2
7402254,174,191,2
7402258,,,2
7402259,169,180,2
7402266,165,,2
7402272,176,164,2
7402273,171,183,2
7402281,171,182,2
7402288,152,184,2
7402290,,,2
7402292,175,185,2
7402297,,,2
7402299,161,180,2
7402300,162,187,2
7402308,,176,2
7402310,163,190,2
7402314,,,2
7402315,170,180,2
7402319,168,176,2
7402321,170,194,2
7402341,172,,2
7402342,165,189,2
7402344,,,2
7402348,164,184,2
7402355,169,178,2
7402359,165,174,2
7402365,169,177,2
7402367,168,180,2
7402371,157,175,2
7402382,160,175,2
7402383,173,187,2
7402385,163,183,2
7402391,163,168,2
7402394,174,175,2
7402395,,,2
7402399,161,177,2
7402400,168,178,2
7402403,167,180,2
7402406,170,180,2
7402411,156,167,2
7402413,172,187,2
7402415,165.5,175,2
7402419,161,187,2
7402425,,,2
7402430,165,175,2
7402432,165,167,2
7402436,171,185,2
7402438,168,179,2
7402445,167,185,2
7402446,,,2
7402450,158,174,2
7402452,163,180,2
7402457,171,,2
7402458,168,185,2
7402462,167,182,2
7402469,,,2
7402470,168,180,2
7402473,179,181,2
7402474,165,185,2
7402483,158,182,2
7402486,172,183,2
7402488,164,175,2
7402490,160,173,2
7402493,177,187,2
7402502,153,173,2
7402503,,,2
7402507,174,180,2
7402508,171,176,2
7402509,168,182,2
7402510,168,179,2
7402517,167,174,2
7402519,,,2
7402522,159,179,2
7402524,163,185,2
7402527,,,2
7402529,,,2
7402536,170,185,2
7402540,155,175,2
7402542,160,185,2
7402545,163,173,2
7402555,173,171,2
7402562,173,182,2
7402563,165,176,2
7402565,162,195,2
7402568,165,174,2
7402569,167,186,2
7402572,173,179,2
7402577,163,,2
7402580,,,2
7402584,170,,2
7402585,183,190,2
7402586,170,180,2
7402593,165,178,2
7402598,169,176,2
7402600,152,175,2
7402606,166,187,2
7402607,,,2
7402608,164,167,2
7402613,164,168,2
7402628,157,165,2
7402633,164,174,2
7402645,171,189,2
7402646,169,180,2
7402647,169,190,2
7402651,168,183,2
7402653,169,182,2
7402655,172,188,2
7402666,163,,2
7402668,160,174,2
7402669,172,178,2
7402670,,,2
7402675,,,2
7402681,163,175,2
7402685,174,189,2
7402688,174,183,2
7402690,167,190,2
7402696,168,182,2
7402698,160,,2
7402709,175,182,2
7402711,158,182,2
7402720,159,183,2
7402722,163,180,2
7402723,170,183,2
7402730,176,190,2
7402735,173,174,2
7402736,168,185,2
7402738,165,187,2
7402740,164,172,2
7402749,163,179,2
7402750,170,184,2
7402751,156,171,2
7402752,168,190,2
7402753,,,2
7402754,172,,2
7402755,,,2
7402759,165,172,2
7402760,,,2
7402767,165,168,2
7402768,167,175,2
7402773,165,183,2
7402778,170,189,2
7402785,172,180,2
7402792,,,2
7402793,156,168,2
7402811,173,177,2
7402817,,,2
7402820,167,173.5,2
7402824,167,178,2
7402829,162,198,2
7402834,169,187,2
7402844,176,178,2
7402847,169,182,2
7402850,170,185,2
7402854,164,180,2
7402866,,,2
7402867,,,2
7402868,168,188,2
7402874,160,174,2
7402876,167,180,2
7402879,162,182,2
7402883,,,2
7402890,180,185,2
7402898,172,180,2
7402906,164,167,2
7402908,165,185,2
7402912,166,187,2
7402914,159,169,2
7402920,,,2
7402922,160,174,2
7402924,169,174,2
7402926,163,180,2
7402928,163,,2
7402930,,,2
7402933,170,185,2
7402936,162,176,2
7402946,168,182,2
7402962,160,174,2
7402966,,,2
7402969,172,190,2
7402971,156,166,2
7402973,162,180,2
7402977,170,169,2
7402979,171,174,2
7402980,170,189,2
7402981,160,174,2
7402982,157,167,2
7402983,,,2
7402986,169,173,2
7402996,175,176,2
7402997,,,2
7402998,158,183,2
7403004,165,175,2
7403005,170,183,2
7403006,170,186,2
7403008,170,175,2
7403010,153,175,2
7403011,168,176,2
7403019,167,181,2
7403021,164,190,2
7403025,170,185,2
7403029,167,182,2
7403030,152,176,2
7403035,175,181,2
7403038,,,2
7403039,165,180,2
7403043,162,,2
7403044,165,176,2
7403049,169,172,2
7403050,177,,2
7403051,,,2
7403055,175,182,2
7403060,150,168,2
7403063,171,169,2
7403066,168,183,2
7403067,157,183,2
7403071,174,185,2
7403073,,,2
7403074,159,193,2
7403075,166,179,2
7403077,,,2
7403080,168,179,2
7403082,163,180,2
7403089,164,176,2
7403090,175,175,2
7403101,,,2
7403126,163,174,2
7403128,169,180,2
7403132,173,172,2
7403133,167,173,2
7403137,164,,2
7403139,,,2
7403143,165,177,2
